,date,temperature
143,2017-11-26 04:47:45,-129.0
144,2017-11-26 04:52:47,15.9375
145,2017-11-26 04:57:49,15.875
146,2017-11-26 05:02:50,15.875
147,2017-11-26 05:07:52,15.875
148,2017-11-26 05:12:53,15.875
149,2017-11-26 05:17:55,15.9375
150,2017-11-26 05:22:57,15.9375
151,2017-11-26 05:27:59,16.0
152,2017-11-26 05:33:00,16.0
153,2017-11-26 05:38:01,16.0625
154,2017-11-26 05:43:03,16.0625
155,2017-11-26 05:48:05,16.0625
156,2017-11-26 05:53:06,16.0625
157,2017-11-26 05:58:08,16.0625
158,2017-11-26 06:03:09,16.0625
159,2017-11-26 06:08:11,16.125
160,2017-11-26 06:13:13,16.125
161,2017-11-26 06:18:14,16.125
162,2017-11-26 06:23:16,16.0625
163,2017-11-26 06:28:17,16.125
164,2017-11-26 06:33:19,16.125
165,2017-11-26 06:38:20,16.125
166,2017-11-26 06:43:22,16.125
167,2017-11-26 06:48:24,16.125
168,2017-11-26 06:53:25,16.125
169,2017-11-26 06:58:27,16.125
170,2017-11-26 07:03:29,16.125
171,2017-11-26 07:08:30,16.125
172,2017-11-26 07:13:32,16.125
173,2017-11-26 07:18:33,16.125
174,2017-11-26 07:23:35,16.1875
175,2017-11-26 07:28:37,16.1875
176,2017-11-26 07:33:38,16.1875
177,2017-11-26 07:38:40,16.1875
178,2017-11-26 07:43:41,16.1875
179,2017-11-26 07:48:43,16.1875
180,2017-11-26 07:53:45,16.1875
181,2017-11-26 07:58:46,16.1875
182,2017-11-26 08:03:48,16.1875
183,2017-11-26 08:08:49,16.125
184,2017-11-26 08:13:51,16.125
185,2017-11-26 08:18:53,16.125
186,2017-11-26 08:23:54,16.0625
187,2017-11-26 08:28:56,16.125
188,2017-11-26 08:33:57,16.125
189,2017-11-26 08:38:59,16.125
190,2017-11-26 08:44:01,16.125
191,2017-11-26 08:49:02,16.125
192,2017-11-26 08:54:04,16.125
193,2017-11-26 08:59:05,16.125
194,2017-11-26 09:04:07,16.125
195,2017-11-26 09:09:08,16.125
196,2017-11-26 09:14:10,16.0625
197,2017-11-26 09:19:12,16.0625
198,2017-11-26 09:24:13,16.0625
199,2017-11-26 09:29:15,16.0625
200,2017-11-26 09:34:16,16.0625
201,2017-11-26 09:39:18,16.0625
202,2017-11-26 09:44:20,16.0625
203,2017-11-26 09:49:21,16.125
204,2017-11-26 09:54:23,16.125
205,2017-11-26 09:59:25,16.125
206,2017-11-26 10:04:26,16.125
207,2017-11-26 10:09:28,16.125
208,2017-11-26 10:14:29,16.125
209,2017-11-26 10:19:31,16.125
210,2017-11-26 10:24:32,16.1875
211,2017-11-26 10:29:34,16.1875
212,2017-11-26 10:34:36,16.1875
213,2017-11-26 10:39:37,16.1875
214,2017-11-26 10:44:39,16.1875
215,2017-11-26 10:49:40,16.1875
216,2017-11-26 10:54:42,16.1875
217,2017-11-26 10:59:44,16.1875
218,2017-11-26 11:04:45,16.1875
219,2017-11-26 11:09:47,16.1875
220,2017-11-26 11:14:48,16.1875
221,2017-11-26 11:19:50,16.1875
222,2017-11-26 11:24:52,16.1875
223,2017-11-26 11:29:53,16.1875
224,2017-11-26 12:13:29,16.25
225,2017-11-26 12:18:31,16.25
226,2017-11-26 12:23:33,16.25
227,2017-11-26 12:28:34,16.25
228,2017-11-26 12:33:36,16.25
229,2017-11-26 12:38:37,16.25
230,2017-11-26 12:43:39,16.25
231,2017-11-26 12:48:40,16.25
232,2017-11-26 12:53:42,16.1875
233,2017-11-26 12:58:44,16.25
234,2017-11-26 13:03:45,16.25
235,2017-11-26 13:08:47,16.25
236,2017-11-26 13:13:48,16.25
237,2017-11-26 13:18:51,16.25
238,2017-11-26 13:23:53,16.25
239,2017-11-26 13:28:54,16.25
240,2017-11-26 13:33:56,16.1875
241,2017-11-26 13:38:57,16.1875
242,2017-11-26 13:43:59,16.1875
243,2017-11-26 13:49:01,-129.0
244,2017-11-26 13:54:02,16.125
245,2017-11-26 13:59:04,16.0625
246,2017-11-26 14:04:05,16.0625
247,2017-11-26 14:09:07,16.0625
248,2017-11-26 14:14:09,16.0
249,2017-11-26 14:19:10,16.0
250,2017-11-26 14:24:12,16.0
251,2017-11-26 14:29:13,15.9375
252,2017-11-26 14:34:15,15.875
253,2017-11-26 14:39:17,15.875
254,2017-11-26 14:44:18,15.875
255,2017-11-26 14:49:20,-129.0
256,2017-11-26 14:54:22,15.875
257,2017-11-26 14:59:23,15.8125
258,2017-11-26 15:04:25,15.8125
259,2017-11-26 15:09:26,15.8125
260,2017-11-26 15:14:28,15.8125
261,2017-11-26 15:19:30,15.75
262,2017-11-26 15:24:31,15.75
263,2017-11-26 15:29:32,15.75
264,2017-11-26 15:34:34,15.6875
265,2017-11-26 15:39:36,15.6875
266,2017-11-26 15:44:37,15.6875
267,2017-11-26 15:49:39,15.625
268,2017-11-26 15:54:41,15.625
269,2017-11-26 15:59:43,-129.0
270,2017-11-26 16:04:45,15.625
271,2017-11-26 16:09:46,15.5625
272,2017-11-26 16:14:48,15.5625
273,2017-11-26 16:19:50,15.5625
274,2017-11-26 16:24:51,15.5625
275,2017-11-26 16:29:53,15.5625
276,2017-11-26 16:34:54,15.5625
277,2017-11-26 16:39:56,15.5625
278,2017-11-26 16:44:58,15.5625
279,2017-11-26 16:49:59,15.625
280,2017-11-26 16:55:01,15.6875
281,2017-11-26 17:00:02,15.6875
282,2017-11-26 17:05:04,15.6875
283,2017-11-26 17:10:05,15.75
284,2017-11-26 17:15:07,15.75
285,2017-11-26 17:20:09,15.75
286,2017-11-26 17:25:10,15.75
287,2017-11-26 17:30:12,15.75
288,2017-11-26 17:35:13,15.75
289,2017-11-26 17:40:15,15.8125
290,2017-11-26 17:45:17,15.8125
291,2017-11-26 17:50:18,15.8125
292,2017-11-26 17:55:20,15.8125
293,2017-11-26 18:00:21,15.8125
294,2017-11-26 18:05:23,15.8125
295,2017-11-26 18:10:25,15.8125
296,2017-11-26 18:15:26,15.8125
297,2017-11-26 18:20:28,15.875
298,2017-11-26 18:25:29,15.875
299,2017-11-26 18:30:31,15.875
300,2017-11-26 18:35:33,15.9375
301,2017-11-26 18:40:34,15.9375
302,2017-11-26 18:45:36,16.0
303,2017-11-26 18:50:37,16.0625
304,2017-11-26 18:55:39,16.0625
305,2017-11-26 19:00:40,16.125
306,2017-11-26 19:05:42,16.0625
307,2017-11-26 19:10:44,16.125
308,2017-11-26 19:15:45,16.1875
309,2017-11-26 19:20:47,16.1875
310,2017-11-26 19:25:48,16.125
311,2017-11-26 19:30:50,16.1875
312,2017-11-26 19:35:52,16.25
313,2017-11-26 19:40:53,16.25
314,2017-11-26 19:45:55,16.3125
315,2017-11-26 19:50:57,16.375
316,2017-11-26 19:55:58,16.4375
317,2017-11-26 20:01:00,16.4375
318,2017-11-26 20:06:01,16.4375
319,2017-11-26 20:11:03,16.5625
320,2017-11-26 20:16:06,16.625
321,2017-11-26 20:21:13,16.625
322,2017-11-26 20:26:14,16.625
323,2017-11-26 20:31:16,16.625
324,2017-11-26 20:36:18,16.8125
325,2017-11-26 20:41:19,16.875
326,2017-11-26 20:46:21,16.875
327,2017-11-26 20:51:22,16.875
328,2017-11-26 20:56:24,16.8125
329,2017-11-26 21:01:26,16.8125
330,2017-11-26 21:06:27,16.8125
331,2017-11-26 21:11:29,16.8125
332,2017-11-26 21:16:31,16.75
333,2017-11-26 21:21:32,16.75
334,2017-11-26 21:26:34,16.6875
335,2017-11-26 21:31:35,16.6875
336,2017-11-26 21:36:37,16.6875
337,2017-11-26 21:41:38,16.6875
338,2017-11-26 21:46:40,16.625
339,2017-11-26 21:51:42,16.625
340,2017-11-26 21:56:43,16.5625
341,2017-11-26 22:01:45,16.5625
342,2017-11-26 22:06:46,16.5625
343,2017-11-26 22:11:48,16.5625
344,2017-11-26 22:16:50,16.5
345,2017-11-26 22:21:51,16.5
346,2017-11-26 22:26:53,16.5
347,2017-11-26 22:31:54,16.4375
348,2017-11-26 22:36:56,16.4375
349,2017-11-26 22:41:57,16.4375
350,2017-11-26 22:46:59,16.375
351,2017-11-26 22:52:02,16.375
352,2017-11-26 22:57:03,16.375
353,2017-11-26 23:02:05,16.375
354,2017-11-26 23:07:06,16.375
355,2017-11-26 23:12:08,16.375
356,2017-11-26 23:17:09,16.375
357,2017-11-26 23:22:11,16.375
358,2017-11-26 23:27:13,16.3125
359,2017-11-26 23:32:14,16.3125
360,2017-11-26 23:37:16,16.3125
361,2017-11-26 23:42:18,16.25
362,2017-11-26 23:47:19,16.1875
363,2017-11-26 23:52:21,16.1875
364,2017-11-26 23:57:22,16.1875
365,2017-11-27 00:02:24,16.125
366,2017-11-27 00:07:26,16.125
367,2017-11-27 00:12:27,16.125
368,2017-11-27 00:17:29,16.0625
369,2017-11-27 00:22:30,16.0625
370,2017-11-27 00:27:32,16.0625
371,2017-11-27 00:32:34,16.0625
372,2017-11-27 00:37:35,16.0625
373,2017-11-27 00:42:37,16.0625
374,2017-11-27 00:47:38,16.0625
375,2017-11-27 00:52:40,16.0625
376,2017-11-27 00:57:42,16.125
377,2017-11-27 01:02:43,16.0625
378,2017-11-27 01:07:45,16.0625
379,2017-11-27 01:12:46,16.0625
380,2017-11-27 01:17:48,16.0625
381,2017-11-27 01:22:50,16.0
382,2017-11-27 01:27:51,-129.0
383,2017-11-27 01:32:53,16.0
384,2017-11-27 01:37:54,16.0
385,2017-11-27 01:42:56,16.0
386,2017-11-27 01:47:57,16.0
387,2017-11-27 01:52:59,16.0
388,2017-11-27 01:58:04,15.9375
389,2017-11-27 02:03:05,15.9375
390,2017-11-27 02:08:07,-129.0
391,2017-11-27 02:13:08,15.9375
392,2017-11-27 02:18:10,15.9375
393,2017-11-27 02:23:12,15.875
394,2017-11-27 02:28:13,15.875
395,2017-11-27 02:33:15,15.875
396,2017-11-27 02:38:16,15.875
397,2017-11-27 02:43:18,15.875
398,2017-11-27 02:48:20,15.875
399,2017-11-27 02:53:21,15.8125
400,2017-11-27 02:58:23,15.8125
401,2017-11-27 03:03:24,15.8125
402,2017-11-27 03:08:26,15.8125
403,2017-11-27 03:13:28,15.8125
404,2017-11-27 03:18:29,15.75
405,2017-11-27 03:23:31,15.75
406,2017-11-27 03:28:32,15.75
407,2017-11-27 03:33:34,15.75
408,2017-11-27 03:38:35,15.75
